id,form,edit form,hyperlink,dict,количество компонентов в смысловой части,позиция компонентов смысловой части,позиция коннектора в составе клаузы,phonvar,pos,type of pos,meaning,Non-connector,Стилистич. ограничения,Example,other_senses,other_pos,semfield1,subfield1,semfield2,subfield2,semfield1_ed,subfield1_ed,semfield2_ed,subfield2_ed,sem_comment,inside_info,Основная часть,Коррелят,Обязательность коррелята,Обязательность компонентов,Комментарий,Разработчик,,
,а,,,БТС,однокомпонентный,NA,начальная,NA,союз,,"противопоставление, сопоставление (обычно с уступительным оттенком)",NA,,"Учится девочка в консерватории, постоянно в хорошем обществе, а родители все равно ей недовольны. [Сконструированный пример]","1. для усиления выразительности 2. при повторном обращении к кому-л. для привлечения внимания. 3. вопросительный отклик на обращение или при переспрашивании 4. побуждение к ответу или к действиям 5. (в восклиц. и вопросит, предл.) сильное удивление, восхищение или возмущение 6. припоминание, узнавание при встрече, догадка 7. удовольствие, радость, удивление при виде кого-, чего-л. 8. досада, негодование, угроза, злорадство 9. решимость с оттенком досады, отчаяния 10. ужас, отчаяние, боль ",частица; междометие,конъюнкция,сопоставление,адверсативность,противительность,адверсатив,противительность,конъюнкция,сопоставление,,,а,NA,NA,NA,,Настя,,
,а,,,БТС,однокомпонентный,NA,начальная,NA,союз,,"пространственная или временная последовательность предметов, явлений, событий",NA,,"Ширвиндт даже сказал: «Надо дать ему какой-нибудь памятный автограф», а я ответил: «Не надо, автографы даю я сам». [НКРЯ: Евгений Петросян. Армейский юмор (2004) // «Народное творчество», 16.02.2004] GOOD","1. для усиления выразительности 2. при повторном обращении к кому-л. для привлечения внимания. 3. вопросительный отклик на обращение или при переспрашивании 4. побуждение к ответу или к действиям 5. (в восклиц. и вопросит, предл.) сильное удивление, восхищение или возмущение 6. припоминание, узнавание при встрече, догадка 7. удовольствие, радость, удивление при виде кого-, чего-л. 8. досада, негодование, угроза, злорадство 9. решимость с оттенком досады, отчаяния 10. ужас, отчаяние, боль",частица; междометие,таксис,следование,NA,NA,мереология,аддитивность,таксис,следование,,,а,NA,NA,NA,,Настя,,
,а,,,БТС,однокомпонентный,NA,начальная,NA,союз,,"развитие, дополнение, пояснение высказанной мысли или характеристику, оценку сказанного",NA,,"Я к вам направлен из войск, а в войсках дураков не держат! [НКРЯ: Евгений Петросян. Армейский юмор (2004) // «Народное творчество», 16.02.2004] GOOD","1. для усиления выразительности 2. при повторном обращении к кому-л. для привлечения внимания. 3. вопросительный отклик на обращение или при переспрашивании 4. побуждение к ответу или к действиям 5. (в восклиц. и вопросит, предл.) сильное удивление, восхищение или возмущение 6. припоминание, узнавание при встрече, догадка 7. удовольствие, радость, удивление при виде кого-, чего-л. 8. досада, негодование, угроза, злорадство 9. решимость с оттенком досады, отчаяния 10. ужас, отчаяние, боль",частица; междометие,конъюнкция,присоединение,мереология,конкретизация,конъюнкция,присоединение,NA,NA,,,а,NA,NA,NA,,Настя,,
,а,,,АГ-80,однокомпонентный,NA,начальная,NA,союз,,сопоставительный,NA,,"Теперь борьба — спорт, а тогда была только зрелищем... [АГ-80] GOOD",частица-союз,частица,адверсативность,противительность,конъюнкция,сопоставление,адверсатив,противительность,конъюнкция,сопоставление,,,а,NA,NA,NA,,Настя,,
,а,,,АГ-80,однокомпонентный,NA,начальная,NA,частица-союз,,присоединительно-распространительный,NA,,"Чины людьми даются, а люди могут обмануться. [АГ-80] OLD",союз,частица,конъюнкция,присоединение,NA,NA,конъюнкция,присоединение,NA,NA,,,а,NA,NA,NA,,Настя,,
,а,,,ЕФР,однокомпонентный,NA,начальная,NA,союз,,противопоставление или сопоставление,NA,,"Учится девочка в консерватории, постоянно в хорошем обществе, а родители все равно ей недовольны. [Сконструированный пример]","1. отклик на обращение как действие 2. выражение возгласом сильного чувства или физической боли как действие 3. выражение возгласом догадки о чем-л. или вспоминания чего-л. как действие 4. выражение возгласом узнавания кого-л. при встрече как действие 5. вопросительный отклик на обращение: что? 6. в репликах, требующих подтверждения сказанного
собеседником: не так ли? не правда ли? 7. возглас, выражающий сильное чувство или физическую боль 8. возглас, выражающий догадку, радостное удивление, злорадное торжество: ага! 9. возглас, выражающий узнавание кого-л. при встрече или означающий вспоминание чего-л.",предикатив; частица; междометие,конъюнкция,сопоставление,адверсативность,противительность,адверсатив,противительность,конъюнкция,сопоставление,,,а,NA,NA,NA,,Настя,,
,а,,,ЕФР,однокомпонентный,NA,начальная,NA,союз,,присоединение предложений или членов предложения (с указанием на их очередность или временную последовательность),NA,,"Ширвиндт даже сказал: «Надо дать ему какой-нибудь памятный автограф», а я ответил: «Не надо, автографы даю я сам». [НКРЯ: Евгений Петросян. Армейский юмор (2004) // «Народное творчество», 16.02.2004] GOOD","1. отклик на обращение как действие 2. выражение возгласом сильного чувства или физической боли как действие 3. выражение возгласом догадки о чем-л. или вспоминания чего-л. как действие 4. выражение возгласом узнавания кого-л. при встрече как действие 5. вопросительный отклик на обращение: что? 6. в репликах, требующих подтверждения сказанного
собеседником: не так ли? не правда ли? 7. возглас, выражающий сильное чувство или физическую боль 8. возглас, выражающий догадку, радостное удивление, злорадное торжество: ага! 9. возглас, выражающий узнавание кого-л. при встрече или означающий вспоминание чего-л.",предикатив; частица; междометие,таксис,следование,NA,NA,мереология,аддитивность,таксис,следование,"Основная сфера начинательного союза а — тексты, описывающие или перечисляющие статичные объекты, констатирующие наличие фактов, предметов, обстоятельств. Соответственно этому порядок следования в тексте предикатных единиц не связан с реальной временной последовательностью каких-либо событий, а может быть соотнесён с любым произвольно выбранным принципом организации объектов при их описании [Преображенская 1991: 67]",,а,NA,NA,NA,,Настя,,
,а,,,ШЩ,однокомпонентный,NA,начальная,NA,частица,модальная,неподготовленность вопроса или неожиданность сообщения,NA,,"Я к вам привык. У вас такой красивый голос. Ирина усмехнулась.  — А давайте увидимся, в кино сходим, — предложил Кямал. [НКРЯ: Токарева Виктория. Своя правда // «Новый Мир», 2002] GOOD",отклик на обращение или побуждение к повторению; желание получить подтверждение; побуждение согласиться с оценкой; побуждение откликнуться на обращение,союз; междометие,композиция текста,смена топика,NA,NA,композиция текста,смена топика,NA,NA,,,а,NA,NA,,,Катя,,
20,а,,,ШЩ,однокомпонентный,NA,начальная,NA,частица,метатекстовая ,привлекает внимание к доп. характеристике сообщаемого,NA,,Кормят у них замечательно. А какие там фрукты! [ШЩ] NOTFOUND,отклик на обращение или побуждение к повторению; желание получить подтверждение; побуждение согласиться с оценкой; побуждение откликнуться на обращение,союз; междометие,мереология,аддитивность,конъюнкция,присоединение,мереология,аддитивность,конъюнкция,присоединение,,,а,NA,NA,,,Катя,,
,а,,,ШЩ,однокомпонентный,NA,начальная,NA,союз,,сопоставительное,NA,,"Девочке шесть лет, а мальчику восемь. [ШЩ] NOTFOUND",NA,частица; междометие,конъюнкция,сопоставительное,NA,NA,конъюнкция,сопоставление,NA,NA,,,а,NA,NA,,,Катя,,
,а,,,ШЩ,однокомпонентный,NA,начальная,NA,союз,,противопоставительное,NA,,"Объем ""бумажных "" данных рос, а средства работы с ними были ограничены пишущими машинками. [НКРЯ: Леонид Черняк. Три ошибки Доктора // «Computerworld», 2004] GOOD",NA,частица; междометие,адверсативность,противительное,NA,NA,адверсатив,противительноcть,NA,NA,,,а,NA,NA,,,Катя,,
,а в особенности,,,АГ-80,многокомпонентный,неразрывный,начальная,NA,союзное соединение,,"различающе-соединительный. выделительный, включение",NA,,"Мы все долго готовились, а в особенности расстаралась Катя. [Сконструированный пример]",NA,NA,мереология,конкретизация,NA,NA,мереология,конкретизация,NA,NA,,,а в особенности,NA,NA,NA,,Настя,,
,а в результате,,,БТС,многокомпонентный,неразрывный,начальная,NA,в зн. союза,,"но, несмотря на это, вопреки этому",NA,,"Она готовилась к конкурсу, а в результате ее все обогнали. [Сконструированный пример]",NA,NA,адверсативность,противительность,адверсативность,уступка,следствие,результат,адверсатив,противительность,,,а в результате,NA,нет,"Единый коннектор, т.к. семантически некомпозиционален, а тж. по статистическим критериям",,Настя,,
,а в то же время,,,АГ-80,многокомпонентный,неразрывный,начальная,NA,союзное соединение,,NA,2,,"Когда пришли в пещеру, Коле было приказано играть похоронный марш на мандолине и смотреть на ожидаемый фокус, а в то же время Сережа Баукин, зайдя сзади, выстрелил ему в затылок. [НКРЯ: В. М. Бехтерев. Внушение и воспитание (1911)] OLD",NA,NA,таксис,одновременность,NA,NA,адверсатив,противительность,мереология,аддитивность,,,а в то же время,NA,NA,NA,,Настя,,
11,а вдобавок,,,Морк,многокомпонентный,неразрывная,начальная,NA,союз,,присоединительный,NA,,"Соблюдай личную гигиену, чисть зубы нитью, как проститутка в «Красотке», и сто грехов тебе простятся, а вдобавок тебя полюбит Ричард Гир. [НКРЯ: А. И. Слаповский. Разнобой // «Волга», 2012] GOOD",NA,NA,конъюнкция,присоединительное,NA,NA,мереология,аддитивность,NA,NA,NA,NA,а вдобавок,NA,NA,,,Диана,,
,а вдобавок,,,БТС,многокомпонентный,неразрывный,начальная,NA,союз,,"сверх того, к тому же",NA,,"Соблюдай личную гигиену, чисть зубы нитью, как проститутка в «Красотке», и сто грехов тебе простятся, а вдобавок тебя полюбит Ричард Гир. [НКРЯ: А. И. Слаповский. Разнобой // «Волга», 2012] GOOD",NA,NA,мереология,аддитивность,конъюнкция,присоединение,мереология,аддитивность,NA,NA,,,а вдобавок,NA,NA,NA,,Настя,,
,а вдобавок,,,ЕФР,многокомпонентный,неразрывный,начальная,NA,союз,,"дополнительное сообщение: да ещё, к тому же, да вдобавок, плюс к тому",NA,,"Соблюдай личную гигиену, чисть зубы нитью, как проститутка в «Красотке», и сто грехов тебе простятся, а вдобавок тебя полюбит Ричард Гир. [НКРЯ: А. И. Слаповский. Разнобой // «Волга», 2012] GOOD",NA,NA,мереология,аддитивность,NA,NA,мереология,аддитивность,NA,NA,,,а вдобавок,NA,NA,NA,,Настя,,
12,а ведь,,,Морк,многокомпонентный,неразрывная,начальная,NA,союз,,противительно-уступительный,NA,,"Он прекрасно выглядит, а ведь ему 70 лет. [Морк] NOTFOUND",NA,NA,адверсатив,противительное,NA,NA,адверсатив,уступка,NA,NA,NA,NA,а ведь,NA,NA,,,Диана,,
13,а ведь,,,Морк,многокомпонентный,неразрывная,начальная,NA,союз,,присоединительный,NA,,"Она идет в этот поход без всякой подготовки, а ведь это опасно. [Морк] NOTFOUND",NA,NA,адверсатив,противительное,конъюнкция,присоединительное,адверсатив,противительность,конъюнкция,присоединение,NA,,а ведь,NA,NA,,,Диана,,
,а ведь,,,АГ-80,многокомпонентный,неразрывный,начальная,NA,союзное соединение,,NA,NA,,"Она идет в этот поход без всякой подготовки, а ведь нужно еще купить снаряжение. [Сконструированный пример]",NA,NA,адверсативность,противительность,NA,NA,конъюнкция,присоединение,NA,NA,,,а ведь,NA,NA,NA,,Настя,,
,а ведь,,,ЕФР,многокомпонентный,неразрывный,начальная,NA,союз,,"противопоставление с уступительным оттенком: хотя, несмотря на то что",NA,,"Она идет в этот поход без всякой подготовки, а ведь нужно еще купить снаряжение. [Сконструированный пример]",NA,NA,адверсативность,уступка,адверсативность,противительность,конъюнкция,присоединение,NA,NA,,,а ведь,NA,NA,NA,,Настя,,
,а вернее сказать,,,БТС,многокомпонентный,неразрывный,начальная,NA,в зн. союза,,уточнение,NA,,"Мы находимся в безвыходной ситуации, а вернее сказать, проблема не решится в ближайшее время. [Сконструированный пример]",NA,NA,переформулирование,NA,мереология,конкретизация,переформулирование,NA,мереология,конкретизация,,,а вернее сказать,NA,NA,NA,,Настя,,
,а вместе с тем,,,АГ-80,многокомпонентный,неразрывный,начальная,NA,союзное соединение,,NA,2,,"Словно бы, кроме грязи в истории моего славного рода, и вспомнить нечего. А вместе с тем это вовсе не так. [НКРЯ: Олег Селедцов. Протокол одного собрания. Повесть для театра // «Ковчег», 2014] GOOD",NA,NA,мереология,аддитивность,NA,NA,конъюнкция,присоединение,адверсатив,противительность,,,а вместе с тем,NA,NA,NA,,Настя,,
,а всё ж таки,,,БТС,многокомпонентный,неразрывный,начальная,NA,союз,,"однако, тем не менее",NA,,"Башкирские деревнешечки бедные, а все ж таки того-другого достать можно, ежели у кого гулянка случится. [НКРЯ: П. П. Бажов. Демидовские кафтаны (1939)] GOOD","1. усиление, подчёркивание смысла высказывания",частица,адверсативность,уступка,адверсативность,противительность,адверсатив,противительность; уступка,NA,NA,,,а всё ж таки,NA,NA,NA,,Настя,,
,а всё же,,,БТС,многокомпонентный,неразрывный,начальная,а всё ж,союз,,"однако, тем не менее",2,,"Иногда он останавливался, смотрел на ногу, когда ее выбрасывал вперед, а все же ощущения движения назад не проходило. [НКРЯ: Николай Крупин. Головная боль // «Дальний Восток», 2019] GOOD","1. усиление, подчёркивание смысла высказывания",частица,адверсативность,уступка,адверсативность,противительность,адверсатив,противительность; уступка,NA,NA,,,а всё же,NA,NA,NA,,Настя,,
14,а всё-таки,,,МАС,многокомпонентный,неразрывная,начальная,NA,союз + частица,,противительный,NA,,"Рассказывайте, что хотите, а все-таки я женюсь и буду жить счастливо. [Видоизмененный пример из МАС] OLD",NA,NA,адверсатив,противительное,NA,NA,адверсатив,противительность,NA,NA,NA,NA,а всё-таки,NA,NA,,,Диана,,
,а всё-таки,,,БТС,многокомпонентный,неразрывный,начальная,NA,союз+союз,,"тем не менее, однако, несмотря на что-л.",NA,,"Спешить ему было как будто и некуда теперь, а все-таки шел он почему-то очень быстро. [НКРЯ: Л. Пантелеев. Собрание сочинений в четырех томах (1984)] GOOD",1. скрытое противопоставление,частица,адверсативность,противительность,адверсативность,уступка,адверсатив,противительность; уступка,NA,NA,,,а всё-таки,NA,NA,NA,,Настя,,
,а всё-таки,,,АГ-80,многокомпонентный,неразрывный,начальная,NA,союзное соединение,,NA,NA,,"Спешить ему было как будто и некуда теперь, а все-таки шел он почему-то очень быстро. [НКРЯ: Л. Пантелеев. Собрание сочинений в четырех томах (1984)] GOOD",NA,NA,адверсативность,противительность,NA,NA,адверсатив,противительность,NA,NA,,,а всё-таки,NA,NA,NA,,Настя,,
,а главное,,,АГ-80,многокомпонентный,неразрывный,начальная,NA,союзное соединение,,различающе-соединительный,NA,,"Если Трошев находит в себе силы для занятий политикой, у него есть цель, а главное, он понимает, что может что-то сделать, став политиком, — то пусть им будет. [НКРЯ: Дмитрий Литовкин, Илья Максаков. Генерал или губернатор?. Военные и политики заняты поиском места работы Геннадию Трошеву // «Известия», 2003.02.19] GOOD",NA,NA,мереология,аддитивность,мереология,конкретизация,мереология,аддитивность; конкретизация; иерархизация,NA,NA,,,а главное,NA,NA,NA,,Настя,,
15,а если,,,МАС,многокомпонентный,неразрывная,начальная,NA,союз + союз,,для выражения решительного утверждения,отн,,"А если кто виноват, то я один. [МАС] NOTFOUND; Независимых газет практически не осталось, а если остались, то только еженедельники. [НКРЯ: Дмитрий Волков, Владимир Сунгоркин. Кухня управляемой демократии // «Отечественные записки», 2003]",NA,NA,условие,реальное,NA,NA,мереология,исключение,NA,NA,NA,с переменной: истинность или аргумент (если кто и виноват),а если,"то, так, это",да,"Компонент ""а"" не обязателен для передачи данного значения",,Диана,,
,а если,,,ЕФР,многокомпонентный,разрывный,начальная,NA,союз+союз,,"решительное утверждение, желание подчеркнуть что-л. или обратить внимание на что-л.",NA,,"Первая крайность ― опасаясь за ранимую детскую психику, всячески обходить стороной тему смерти, а если в семье кто-нибудь умирает, стараться скрыть от ребенка этот факт. [НКРЯ: Евгения Власова. Дети и смерть (2002) // «Домовой», 04.08.2002] GOOD","1. неуверенная готовность решиться на что-л., согласиться с чем-л.: может быть",частица,переформулирование,NA,NA,NA,условие,антиусловие,мереология,аддитивность,"В силу наличия ""а"" оформляет ""второе условие"" в цепочке, т.е. антиусловие",,а если,NA,NA,"Отнесено к единиым коннекторам, исходя из статистических критериев.",,Настя,,
,а если_и,,,БТС,многокомпонентный,разрывный,начальная,NA,союз+союз,,"решительное утверждение, чтобы подчеркнуть что-л., обратить внимание на что-л.",NA,,"Ни в мыслях, ни в чувствах Таня с Томой почти никогда не совпадали, а если они и совпадали, то исключительно благодаря Томиному умению подстроиться на Танину волну. [Видоизмененный пример из НКРЯ] GOOD",NA,NA,мереология,конкретизация,NA,NA,мереология,исключение,NA,NA,,с переменной: истинность или аргумент (если кто и виноват),а если и,"то, так, это",да,"Компонент ""а"" не обязателен для передачи данного значения",,Настя,,
16,а ещё,,,Морк,многокомпонентный,неразрывная,начальная,NA,союз,,присоединительный,NA,,"Разбила огород на южном склоне, выращивают телят и свиней, а еще есть цветники и клумбы, оштукатуренные дома с крашеными полами, работают плотина и три фонтана, которые подпитываются самотечной водой. [НКРЯ: Александр Купер. Истопник // «Дальний Восток», 2019] GOOD","присоединительный с оттенком укоризны, иронии",NA,конъюнкция,присоединительное,NA,NA,мереология,аддитивность,NA,NA,NA,,а ещё,NA,NA,а обяз.,,Диана,,
,а ещё,,,БТС,многокомпонентный,неразрывный,начальная,NA,NA,,"осуждение, упрёк, ирония Совсем о сыне не думает, а ещё мать!",ИГ; ГГ,,"Вы видите, можно ли с этими людьми иметь дело. А еще называют себя литераторами.… Цыпленкин ушел, надувшись. [НКРЯ: В. В. Виноградов. Этюды о стиле Гоголя (1923-1926)] OLD",NA,NA,адверсативность,уступка,NA,NA,адверсатив,уступка,NA,NA,"Оттенок укоризны, иронии, осуждения",,а ещё,NA,NA,NA,,Настя,,
,а ещё,,,ЕФР,многокомпонентный,неразрывный,начальная,NA,союз,,дополняет предшествующее высказывание,NA,,"Разбила огород на южном склоне, выращивают телят и свиней, а еще есть цветники и клумбы, оштукатуренные дома с крашеными полами, работают плотина и три фонтана, которые подпитываются самотечной водой. [НКРЯ: Александр Купер. Истопник // «Дальний Восток», 2019] GOOD",NA,NA,мереология,аддитивность,NA,NA,мереология,аддитивность,NA,NA,,,а ещё,NA,NA,NA,,Настя,,
,а ещё,,,ЕФР,многокомпонентный,неразрывный,начальная,NA,союз,,"несоответствие чему-л. с оттенком допущения, укоризны, иронии, осуждения: хотя, а ведь",ИГ; ГГ,,"Вы видите, можно ли с этими людьми иметь дело. А еще называют себя литераторами.… Цыпленкин ушел, надувшись. [НКРЯ: В. В. Виноградов. Этюды о стиле Гоголя (1923-1926)] OLD",NA,NA,адверсативность,противительность,NA,NA,адверсатив,уступка,NA,NA,"Оттенок укоризны, иронии, осуждения",,а ещё,NA,NA,NA,,Настя,,
,а зато,,,БТС,многокомпонентный,разрывный,начальная,NA,союз,,"возместительное сопоставление; но в то же время, однако",2,,"Фотосправочник штатский пустил веером, а зато в ""Вопросы "" он так и впился. [НКРЯ: Ю. О. Домбровский. Хранитель древностей, часть 2 (1964)] GOOD",NA,NA,заместительные отношения,NA,NA,NA,заместительные отношения,NA,NA,NA,,,а зато,NA,NA,NA,,Настя,,
17,а значит,,,Морк,многокомпонентный,неразрывная,начальная,NA,союз,,присоединительный,NA,,"Однако на карту поставлено слишком многое, а значит попытаться стоит. [НКРЯ: Мария Давыдова. Кто в доме хозяин? (2003) // «100% здоровья», 15.01.2003] GOOD",NA,NA,конъюнкция,присоединительное,NA,NA,следствие,умозаключение,NA,NA,NA,NA,а значит,NA,NA,а обяз.,,Диана,,
,а значит,,,БТС,многокомпонентный,неразрывный,начальная,NA,союз+союз,,"Проезжаю родные места, а значит увижу своих племянников",NA,,"Однако на карту поставлено слишком многое, а значит попытаться стоит. [НКРЯ: Мария Давыдова. Кто в доме хозяин? (2003) // «100% здоровья», 15.01.2003] GOOD",NA,NA,ПУ,логический вывод,NA,NA,следствие,умозаключение,NA,NA,,,а значит,NA,NA,NA,,Настя,,
,а значит,,,АГ-80,многокомпонентный,неразрывный,начальная,NA,союзное соединение,,обусловленность,NA,,"Однако на карту поставлено слишком многое, а значит попытаться стоит. [НКРЯ: Мария Давыдова. Кто в доме хозяин? (2003) // «100% здоровья», 15.01.2003] GOOD",NA,NA,ПУ,логический вывод,NA,NA,следствие,умозаключение,NA,NA,,,а значит,NA,NA,NA,,Настя,,
,а значит,,,Морк,многокомпонентный,неразрывная,начальная,NA,союз,,следствия,NA,,"Однако на карту поставлено слишком многое, а значит попытаться стоит. [НКРЯ: Мария Давыдова. Кто в доме хозяин? (2003) // «100% здоровья», 15.01.2003] GOOD",NA,NA,следствие,результат,NA,NA,следствие,результат; умозаключение,NA,NA,NA,NA,а значит,NA,NA,а не обяз.,,Диана,,
,а и оттого,"не только..., а и оттого",,БТС,многокомпонентный,неразрывный,начальная,NA,в зн. союза,,а и потому,констр,,"Русские женщины дурнеют быстро, красота их только мелькнет, и, право, это не от одних только этнографических особенностей типа, а и оттого еще, что они умеют любить беззаветно. [Ф. М. Достоевский. Подросток (1875)] OLD",NA,NA,причина,результат,NA,NA,причина,собственно причина,NA,NA,"Конструкция содержит показатель исключительности и выражение причины, напр. ""не только оттого"", ""не только из-за Х"", ""не от одного Х"", ""не от одного лишь Х"" и т.д.",,а и оттого,NA,NA,NA,,Настя,,
18,а и то,,,Морк,многокомпонентный,неразрывная,начальная,NA,союз,,противительный,2,,"― Даже лесная канарейка, уж на что глупа, а и то ее так не поймаешь, а эти… [НКРЯ: Ю. О. Домбровский. Обезьяна приходит за своим черепом, часть 1 (1943-1958)] GOOD",NA,NA,адверсатив,противительное,NA,NA,адверсатив,противительность; уступка,NA,NA,NA,NA,а и то,NA,NA,а не обяз.,,Диана,,
,а и то,,,АГ-80,многокомпонентный,неразрывный,начальная,NA,союз,,NA,2,,"Работать с ним было тяжело, уж насколько я к нему привык, а и то однажды я едва не выбросил его в окно во время монтажа. [Видоизмененный пример из НКРЯ] GOOD",NA,NA,мереология,конкретизация,адверсативность,уступка,адверсатив,противительность; уступка,NA,NA,,,а и то,NA,NA,NA,,Настя,,
,а и то,,,ЕФР,многокомпонентный,неразрывный,начальная,NA,союз,,оттенок противопоставления или уступительности,2,,"― Даже лесная канарейка, уж на что глупа, а и то ее так не поймаешь, а эти… [НКРЯ: Ю. О. Домбровский. Обезьяна приходит за своим черепом, часть 1 (1943-1958)] GOOD",NA,NA,адверсативность,противительность,адверсативность,уступка,адверсатив,противительность; уступка,NA,NA,,,а и то,NA,NA,NA,,Настя,,
