linker,semfield1_ed,id,source,parts.num,parts.order,parts.order.example,linker_position,linker_position_exclusivity,position.example,mainpart,correl,correl.oblig,correl.oblig.example,comp.oblig,comment,public_comments,correl.position,correl.position.example,clause.order,clause.order.example,clause order comments,dep.clause.type,expansion,indep.sentence,indep.sentence.example,inferential.example,illoc example,metatext example,phonvar,pos,pos.type,meaning,style,example,other_senses,other_pos,subfield1_ed,semfield2_ed,subfield2_ed,sem_comment,inside_info,developer
а всё ж таки,адверсатив,34,БТС,poly,nobreak,,initial,,,а всё ж таки,NA,NA,,NA,NA,,NA,,postposition,,,,,,,,"Мое дело маленькое, а все ж таки разрешите полюбопытствовать — за каким товаром идем? [НКРЯ: Василий Аксенов. Любовь к электричеству (1969)]",,NA,союз,NA,"однако, тем не менее",NA,"Спешить было некуда, а все ж таки он шел очень быстро. (Сконструированный пример)","1. усиление, подчёркивание смысла высказывания",частица,NA,NA,NA,NA,NA,
а всё-таки,адверсатив,36; 37; 38,МАС; БТС; АГ-80,poly,nobreak,,initial,,,а всё-таки,NA,NA,,NA,NA,,NA,,postposition,,,,,,,,"Прочитаю с удовольствием, Александр Владимирович. А всё-таки расскажите подробнее, о чём ваша книга? [НКРЯ: Михаил Блехман. Римские цифры // «Ковчег», 2012]",,NA,союз + частица; союз+союз; союзное соединение,NA,"противительный; тем не менее, однако, несмотря на что-л.; NA",NA,"Рассказывайте, что хотите, а я все-таки женюсь и буду жить счастливо. (МАС); Спешить ему было как будто и некуда теперь, а все-таки шел он почему-то очень быстро. [Л. Пантелеев. Собрание сочинений в четырех томах (1984)]",NA; 1. скрытое противопоставление,NA; частица,противительность; NA,NA,NA,NA,NA,
а главное,мереология,39,АГ-80,poly,nobreak,,initial,,,а главное,NA,NA,,NA,NA,,NA,,postposition,,,,,,,,"Я, кажется, уже не могу лежать, а главное, в чем смысл, если лечения все равно никакого? [Видоизмененный пример из НКРЯ]",,NA,союзное соединение,NA,различающе-соединительный,NA,"Если Трошев находит в себе силы для занятий политикой, у него есть цель, а главное, он понимает, что может что-то сделать, став политиком, — то пусть им будет. [Дмитрий Литовкин, Илья Максаков. Генерал или губернатор?. Военные и политики заняты поиском места работы Геннадию Трошеву // «Известия», 2003.02.19]",NA,NA,аддитивность; конкретизация; иерархизация,NA,NA,NA,NA,
а если,условие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Первая крайность ― опасаясь за ранимую детскую психику, всячески обходить стороной тему смерти, а если в семье кто-нибудь умирает, стараться скрыть от ребенка этот факт. [НКРЯ: Евгения Власова. Дети и смерть (2002) // «Домовой», 04.08.2002] GOOD",,,антиусловие,,,,,
а если_и,мереология,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ни в мыслях, ни в чувствах Таня с Томой почти никогда не совпадали, а если они и совпадали, то исключительно благодаря Томиному умению подстроиться на Танину волну. [Видоизмененный пример из НКРЯ] GOOD",,,исключение,,,,,
а ещё,мереология,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Разбила огород на южном склоне, выращивают телят и свиней, а еще есть цветники и клумбы, оштукатуренные дома с крашеными полами, работают плотина и три фонтана, которые подпитываются самотечной водой. [НКРЯ: Александр Купер. Истопник // «Дальний Восток», 2019] GOOD",,,аддитивность,NA,NA,NA,NA,
а значит,следствие,48; 49; 50; 51,Морк; БТС; АГ-80,poly,nobreak,,initial,,,а значит,NA,NA,,а не обяз.,NA,,NA,,postposition,,,,,,,"Брат бы не поверил, что Инка ушла из конторы, чтобы сидеть на качелях здесь, в незнакомом дворе, а значит, он ей не брат. [Видоизмененный пример из НКРЯ]","На него нет покупателей, а значит, зачем и кому его продавать? [НКРЯ: Путевые заметки от Путина (2003) // «Московский комсомолец», 14.01.2003]",,NA,союз; союз+союз; союзное соединение,NA,"присоединительный; Проезжаю родные места, а значит увижу своих племянников; обусловленность; следствия",NA,"Однако на карту поставлено слишком многое, а значит попытаться стоит. [Мария Давыдова. Кто в доме хозяин? (2003) // «100% здоровья», 15.01.2003]",NA,NA,умозаключение; NA,NA,NA,NA,NA,
а именно,мереология,57; 59; 61,БТС; АГ-80; ЕФР,poly,nobreak,,initial,exclusively,,а именно,NA,NA,,NA,NA,,NA,,postposition,,,финитная,,да,"Брата мучила аналогичная проблема. А именно, можно ли быть коммунистом с уголовным прошлым? (НКРЯ, Довлатов)",,"Почему современное поколение так любит плавать в мусоре, а именно почему подростки обожают смотреть ТикТок? [Google]",Примеры не обнаружены,NA,NA; союзное соединение; союз,NA,"Я поеду туда, где я нужнее, а и. в деревню; пояснительный; какие-л. точные сведения",NA,"Иван Иванович показал себя чутким человеком, а именно, подал Марии платок. (Сконструированный пример)",NA,NA,конкретизация,NA,NA,NA,NA,
а именно,переформулирование,56; 58; 60,Морк; АГ-80; ЕФР,poly,nobreak,,initial,exclusively,,а именно,NA,NA,,NA,NA,,NA,,postposition,,,финитная,,да,"По всем раскладам выходило, что наше шоу в первую и вторую неделю зрители просто проигнорировали. А именно: «Карьеру» посмотрели 0,026 процента телезрителей. (НКРЯ)",,,"По всем раскладам выходило, что наше шоу в первую и вторую неделю зрители просто проигнорировали. А именно: «Карьеру» посмотрели 0,026 процента телезрителей. (НКРЯ)",NA,союз,NA,"пояснительный; пояснительный (уточнение, раскрытие перечня, введение конкретизирующего члена); уточняет, конкретизирует высказанную мысль: то есть",NA,"За решение проголосовало две трети участников, а именно, 120 человек из 180 поддержали создание нового культурного центра. (Сконструированный пример)",NA,NA,NA,NA; мереология,NA; конкретизация,NA,NA,
а к тому же,мереология,64; 65,Морк; АГ-80,poly,nobreak,,initial,,,а к тому же,NA,NA,,NA,NA,,NA,,postposition,,,,,,,,"Как только мы начинаем брать на веру тот слой истории, что лежит на поверхности, то почти наверняка обрекаем себя на неверное ее понимание; а к тому же что такое история? [Видоизмененный пример из НКРЯ]",,NA,союз,NA,присоединительный; NA,NA,"Только не сегодня; голова болит, а к тому же там будет так много публики… [Ф. М. Достоевский. Крокодил (1865)]",NA,NA,аддитивность,NA,NA,NA,NA,
а кроме того,мереология,66,Морк,poly,nobreak,,initial,,,а кроме того,NA,NA,,NA,NA,,NA,,postposition,,,,,,,,"Я понял, что кроме этих протоколов составляются другие, и рано или поздно все узнается, а кроме того, какое значение имело теперь, что обо мне скажут и подумают? [НКРЯ: Ю. В. Трифонов. Нетерпение (1973)]",,NA,союз,NA,присоединительный,NA,"Собираемся мы поехать в свободный день в окрестности Киева, но погода самая неподходящая. Нет-нет да и дождичек прольет, а кроме того и холодновато (Л. Собинов, АГ-80)",NA,NA,аддитивность,NA,NA,NA,NA,
а лучше сказать,переформулирование,67,БТС,poly,nobreak,,initial,,,а лучше сказать,NA,NA,,NA,NA,,NA,,postposition,,,,,,,,,,NA,в зн. союза,NA,уточнение,NA,"Мы находимся в безвыходной ситуации, а лучше сказать, проблема не решится в ближайшее время. (Сконструированный пример)",NA,NA,NA,NA,NA,NA,NA,
а между тем,адверсатив,68; 69,Морк; БТС,poly,nobreak,,initial,,,а между тем,NA,NA,,NA,NA,,NA,,"interposition, postposition",,,,,,,,"Его жизнь сложилась очень тяжело, я этого не перенесла, а между тем, что у меня осталось от России? [НКРЯ: И. Н. Кнорринг. Дневник (1924)]",,NA,союз; в зн. союза,NA,"противительно-уступительный; тем временем, в то же время",NA,"Отец был по натуре художником, а между тем всю жизнь провел он у зубоврачебного кресла. (И. Ильинский, АГ-80)",NA,NA,противительность,NA,NA,NA,NA,
а не то,дизъюнкция,77; 78,БТС; АГ-80,poly,nobreak,,initial,,,а не то,NA,NA,,NA,NA,,NA,,postposition,,,,,,,,"Я тебя поддержу, а не то просто деньгами возьми. [Видоизмененный пример из НКРЯ]",,NA,в зн. союза; союз,NA,"Или, или же; разделительный (выбор)",NA,"Добавь в салат луку, а не то чеснока",NA,NA,NA,NA,NA,NA,NA,
а не то,условие,72; 73; 74; 79,МАС; Морк; БТС; ЕФР,poly,nobreak,,initial,,,а не то,NA,NA,,NA,NA,,NA,,postposition,,,,,,,,"Ты дашь мне сто рублей, а не то отдавай сына, слышь?! [Видоизмененный пример из НКРЯ]; Ты, сопляк, окоротись, а не то в могиле тебе лежать! [НКРЯ: М. Гиголашвили. Чертово колесо (2007)]",,NA,нет пометы; союз; в зн. союза,NA,"иначе, в противном случае; на самом деле, в действительности; потому что, так как; или, или же; конечно, безусловно так; противительный; Иначе, в противном случае; соединение предложений (во втором из которых действие или событие могло бы произойти, если бы препятствием для него не послужило реальное действие или событие первого предложения): а то, в противном случае, иначе",NA,"Пойдёмте быстрее, а не то опоздаем. (Морк); Застегнись, а не то простудишься.; У-у, Башуцкий, счастье твое, на службе Мудряк, а не то бы сквозь стену учуял, на что ты, тунеядец, руку-то поднял. [Юрий Давыдов. Синие тюльпаны (1988-1989)]","при выражении согласия после первоначального отказа; при уговаривании, пожелании; NA",NA,антиусловие,NA,NA,NA,NA,
а не то что,заместительные отношения,81,ЕФР,poly,nobreak,,initial,,,а не то что,NA,NA,,NA,NA,,NA,,postposition,,,,,,,,,Примеры не обнаружены,NA,союз,NA,подчеркивание важности последующей части высказывания: не то что,NA,"Бились концами, кто где живет, а не то что подбирались по работе либо еще как. [П. П. Бажов. Широкое плечо (1948)]",NA,NA,NA,NA,NA,NA,NA,
а особенно,мереология,84,АГ-80,poly,nobreak,,initial,,,а особенно,NA,NA,,NA,NA,,NA,,postposition,,,,,,,,,,NA,союзное соединение,NA,"различающе-соединительный, выделительный, включение",NA,"Ему нравилась маленькая комната Соколовых, нравилась милая улыбка гостеприимной Марьи Ивановны, а особенно нравились ему разговоры, шедшие за столом. [Василий Гроссман. Жизнь и судьба, ч. 1 (1960)]",NA,NA,конкретизация,NA,NA,NA,NA,
а оттого,следствие,85; 86,БТС; АГ-80,poly,nobreak,,initial,,,а оттого,NA,NA,,NA,NA,,NA,,postposition,,,,,,,,"Но ты из тех, которые сами выпивают стакан — а оттого молчи. [Видоизмененный пример из НКРЯ]",,NA,в зн. союза; союзное соединение,NA,а потому; обусловленность,NA,"Но особенно ярко светился хвост ящерицы — его день ещё не наступил, а оттого был бесконечно прекрасным. [К. А. Терина. Тот, кто делает луну (2015)]",NA,NA,результат,NA,NA,NA,NA,
а потому,следствие,87,АГ-80,poly,nobreak,,initial,,,а потому,NA,NA,,NA,NA,,NA,,postposition,,,,,,,"Проводники вагона — деятели определенного учреждения, а потому наши разговоры, наверное, записываются. [Видоизмененный пример из НКРЯ]","Все люди в России должны сейчас мыслить, как один человек, а потому — какие там белые места! [НКРЯ: М. К. Лемке. 250 дней в царской ставке 1916. (1916)]",,NA,союзное соединение,NA,обусловленность,NA,"Я знаю, все это вы говорите в раздражении, а потому не сержусь на вас. (Чехов, АГ-80)",NA,NA,результат,NA,NA,NA,NA,
а следовательно,следствие,92; 93,Морк; АГ-80,poly,nobreak,,initial,,,а следовательно,NA,NA,,NA,NA,,NA,,postposition,,,,,,,"В нынешнем РАО царит не литература, а, следовательно, Есин им, наверное, не нужен, Есин занимает место, на которое хорошо бы посадить кого-нибудь другого. [НКРЯ: С. Н. Есин. Дневник (2007)]","Что ж, это дело вашего политического вкуса и уровня вашей политической культуры, а следовательно — кушайте на здоровье. [Видоизмененный пример из НКРЯ]",,NA,союз; союзное соединение,NA,для придания высказыванию значения вывода; обусловленность,NA,"Наше искусство служит революции, а следовательно оно должно не плестись в хвосте у современности, а обогнать ее. (Каширина, АГ-80)",NA,NA,умозаключение,NA,NA,NA,NA,
а стало быть,следствие,94; 95,Морк; АГ-80,poly,nobreak,,initial,,,а стало быть,NA,NA,,NA,NA,,NA,,postposition,,,,,,,"Проводники вагона — деятели определенного учреждения, а стало быть наши разговоры, наверное, записываются. [Видоизмененный пример из НКРЯ]","Что ж, это дело вашего политического вкуса и уровня вашей политической культуры, а стало быть — кушайте на здоровье. [Видоизмененный пример из НКРЯ]",,NA,союз; союзное соединение,NA,для придания высказыванию значения вывода; обусловленность,NA,"Ведь из любой самой совершенной прозы артист может что-то вычеркнуть и что-то в нее добавить, тогда как если и можно что-нибудь ""вычеркнуть "" из скульптуры, то вписать, добавить в нее уже ничего нельзя, а стало быть, скульптура в любом случае хотя бы наполовину — совершенство. [Василий Аксенов. Круглые сутки нон-стоп // «Новый Мир», 1976]",NA,NA,умозаключение,NA,NA,NA,NA,
а также,конъюнкция,98,Морк,poly,nobreak,,initial,,,а также,NA,NA,,NA,NA,,NA,,postposition,,,,,,,,,,NA,союз,NA,присоединительный,NA,"Беседа была посвящена двусторонним отношениям, а также была затронута тема региональных конфликтов. (НКРЯ)",NA,NA,присоединение,NA,NA,NA,NA,
а также,мереология,96; 97; 99; 100,МАС; Морк; АГ-80; ЕФР,poly,nobreak,,initial,,,а также,NA,NA,,NA,NA,,NA,,postposition,,,,,,,,"Существует ли бессмертие, а также каковы цены на каменный уголь на последней адской бирже? [НКРЯ: Л. Н. Андреев. Дневник сатаны (1919)]",,NA,сложный союз; союз,NA,"присоединительный; соединительный; соединительный, сопоставительный, градационный, присоединительный; присоединение однородного члена предложения (который — являясь добавочным — отграничивается от другого или от ряда других однородных членов): и",NA,"Она танцует, играет на пианино, а также ее мать подбадривает ее сочинять музыку. (Сконструированный пример)",NA,NA,аддитивность,NA,NA,NA,NA,
а также и,мереология,101,АГ-80,poly,nobreak,,initial,,,а также и,NA,NA,,NA,NA,,NA,,postposition,,,,,,,,,,NA,союз,NA,присоединительный,NA,"Этот роскошный старинный купеческий дом позапрошлого века я за последние несколько месяцев возненавидел до дрожи вместе со всеми треклятыми кариатидами, а также и эркерами. [Александр Крамер. О скитальцах и странниках // «Сибирские огни», 2013]. (Сконструированный пример)",NA,NA,аддитивность,NA,NA,NA,NA,
а тем более,конъюнкция,102,АГ-80,poly,nobreak,,initial,,,а тем более,NA,NA,,NA,NA,,NA,,postposition,,,,,,,,"Ответы на них могут дать, вероятно, только будущие поколения, так как познание китайского естества в настоящий момент вообще находится в первобытном состоянии, а тем более, что могу сказать я, турист, с птичьего полета смотрящий на всю эту, совершенно чужую мне жизнь? [НКРЯ: Н. Г. Гарин-Михайловский. По Корее, Маньчжурии и Ляодунскому полуострову (1898)]",,NA,союзное соединение,NA,различающе-соединительный,NA,"Таня не планировала выходить замуж, а тем более она не хотела рожать ребенка. (Сконструированный пример)",NA,NA,присоединение,NA,NA,NA,NA,
а то,адверсатив,107,Морк,poly,nobreak,,initial,exclusively,,а то,NA,NA,,да,NA,,NA,,postposition,,,финитная,,,,,,Примеры не обнаружены,NA,союз,NA,условно-противительный,NA,"За неделю этого не сделаешь: было бы нас много, а то всего трое. (Морк)",NA,NA,противительность,NA,NA,NA,NA,
а то,дизъюнкция,104; 105; 112,МАС; Морк; БТС,poly,nobreak,,initial,exclusively,,а то,NA,NA,,да,NA,,NA,,postposition,,,финитная,,,,,,Примеры не обнаружены,NA,союз + частица; союз; в зн. союза,NA,"или же, или; разделительный; Или, или же",NA,"Добавь в салат луку, а то чеснока. (Сконструированный пример); От капли огня нутро шкафа преображалось, становясь похожим на пещеру отшельника, и Ольга принималась строить чудные грезы, а то силой воображения норовила получить из профиля Мефистофеля контур Балканского полуострова, а из горного пейзажа выкройку дамского пиджака.. (НКРЯ)","NA; 1. утверждение, согласие 2. согласие после первоначального отказа 3. при уговаривании, пожелании",NA; частица,NA,NA,NA,NA,"NA; не уст., есть примеры 2011 / бывает ли с клаузами?",
а то,заместительные отношения,110; 113; 117,БТС; АГ-80; ЕФР,poly,nobreak,,initial,exclusively,,а то,NA,NA,,да,NA,,NA,,postposition,,,финитная,,,,,,Примеры не обнаружены,NA,в зн. союза; союз,NA,"На самом деле, в действительности; NA; констатируется что-л., противопоставляемое предположительному условию, высказанному в предыдущем отрезке предложения",NA,"Так бы и говорила, а то ещё лжёт. (БТС); То было девять лет, а то, здравствуйте пожалуйста, сразу десять! [А. Слаповский. Не сбылась моя мечта (1999)]","1. утверждение, согласие 2. согласие после первоначального отказа 3. при уговаривании, пожелании; NA; 1. выражение уверенного согласия, утверждения: да, конечно, а как же, разумеется",частица; NA,NA,NA; адверсатив,NA; противительность,NA,NA,
